,away_defensive_rating,away_effective_field_goal_percentage,away_free_throw_attempt_rate,away_offensive_rating,away_three_point_field_goal_percentage,away_total_rebound_percentage,away_true_shooting_percentage,away_turnover_percentage,away_win_percentage,date,home_defensive_rating,home_effective_field_goal_percentage,home_free_throw_attempt_rate,home_free_throw_percentage,home_offensive_rating,home_three_point_field_goal_percentage,home_total_rebound_percentage,home_true_shooting_percentage,home_turnover_percentage,home_wins,location,losing_abbr,losing_name,pace,winning_abbr,winning_name,team_name,conf,boxscore,Unnamed: 0.1,winner,home_team,away_team
12907,78.8,0.508,0.5,118.2,0.28,68.1,0.525,13.1,0.6,"November 17, 2018",118.2,0.375,0.34600000000000003,0.722,78.8,0.241,31.9,0.429,14.3,1,"Bank of Kentucky Center, Highland Heights, Kentucky",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,66.4,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,2018-11-17-16-north-carolina-asheville,2018-11-17-16-north-carolina-asheville,Away,COASTAL-CAROLINA,NORTH-CAROLINA-ASHEVILLE
12909,124.3,0.591,0.109,100.0,0.375,55.9,0.605,26.7,0.14300000000000002,"December 1, 2018",100.0,0.569,0.097,0.7140000000000001,124.3,0.37,44.1,0.5770000000000001,11.8,3,"Skyhawk Arena, Martin, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,70.1,TENNESSEE-MARTIN,UT-Martin,UNC Asheville,big-south,2018-12-01-20-tennessee-martin,2018-12-01-20-tennessee-martin,Home,TENNESSEE-MARTIN,NORTH-CAROLINA-ASHEVILLE
12911,124.3,0.591,0.109,100.0,0.375,55.9,0.605,26.7,0.14300000000000002,"December 1, 2018",100.0,0.569,0.097,0.7140000000000001,124.3,0.37,44.1,0.5770000000000001,11.8,3,"Skyhawk Arena, Martin, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,70.1,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,2018-12-01-20-tennessee-martin,2018-12-01-20-tennessee-martin,Home,TENNESSEE-MARTIN,NORTH-CAROLINA-ASHEVILLE
12913,93.7,0.5820000000000001,0.408,112.7,0.409,57.1,0.607,17.2,0.273,"December 8, 2018",112.7,0.436,0.255,0.7859999999999999,93.7,0.231,42.9,0.479,11.6,1,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,63.1,WESTERN-CAROLINA,Western Carolina,UNC Asheville,big-south,2018-12-08-13-north-carolina-asheville,2018-12-08-13-north-carolina-asheville,Away,WESTERN-CAROLINA,NORTH-CAROLINA-ASHEVILLE
12915,93.7,0.5820000000000001,0.408,112.7,0.409,57.1,0.607,17.2,0.273,"December 8, 2018",112.7,0.436,0.255,0.7859999999999999,93.7,0.231,42.9,0.479,11.6,1,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,63.1,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,2018-12-08-13-north-carolina-asheville,2018-12-08-13-north-carolina-asheville,Away,WESTERN-CAROLINA,NORTH-CAROLINA-ASHEVILLE
12917,141.5,0.409,0.409,75.4,0.333,34.6,0.466,24.7,0.1,"December 15, 2018",75.4,0.669,0.28800000000000003,0.765,141.5,0.542,65.4,0.6859999999999999,11.9,9,"Richardson Indoor Stadium, Spartanburg, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,65.3,WOFFORD,Wofford,UNC Asheville,big-south,2018-12-15-19-wofford,2018-12-15-19-wofford,Home,WOFFORD,NORTH-CAROLINA-ASHEVILLE
12919,141.5,0.409,0.409,75.4,0.333,34.6,0.466,24.7,0.1,"December 15, 2018",75.4,0.669,0.28800000000000003,0.765,141.5,0.542,65.4,0.6859999999999999,11.9,9,"Richardson Indoor Stadium, Spartanburg, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,65.3,WOFFORD,Wofford,Wofford,southern,2018-12-15-19-wofford,2018-12-15-19-wofford,Home,WOFFORD,NORTH-CAROLINA-ASHEVILLE
12921,119.4,0.536,0.309,110.4,0.429,58.6,0.5870000000000001,19.4,0.091,"December 18, 2018",110.4,0.575,0.267,0.688,119.4,0.35,41.4,0.5920000000000001,11.8,3,"Edmunds Center, DeLand, Florida",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,67.3,STETSON,Stetson,UNC Asheville,big-south,2018-12-18-19-stetson,2018-12-18-19-stetson,Home,STETSON,NORTH-CAROLINA-ASHEVILLE
12923,119.4,0.536,0.309,110.4,0.429,58.6,0.5870000000000001,19.4,0.091,"December 18, 2018",110.4,0.575,0.267,0.688,119.4,0.35,41.4,0.5920000000000001,11.8,3,"Edmunds Center, DeLand, Florida",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,67.3,STETSON,Stetson,Stetson,atlantic-sun,2018-12-18-19-stetson,2018-12-18-19-stetson,Home,STETSON,NORTH-CAROLINA-ASHEVILLE
12925,128.4,0.556,0.426,113.4,0.429,45.8,0.585,17.9,0.0,"December 21, 2018",113.4,0.605,0.258,0.688,128.4,0.565,54.2,0.618,10.4,2,"Kimmel Arena, Asheville, North Carolina","Milligan
			","Milligan
			",67.3,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south,2018-12-21-14-north-carolina-asheville,2018-12-21-14-north-carolina-asheville,Home,NORTH-CAROLINA-ASHEVILLE,"Milligan
			"
12926,100.0,0.733,0.467,127.0,0.5329999999999999,48.9,0.728,14.2,0.0,"December 29, 2018",127.0,0.536,0.071,0.75,100.0,0.32,51.1,0.544,19.5,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,62.9,"Fayetteville State
			","Fayetteville State
			",UNC Asheville,big-south,2018-12-29-14-north-carolina-asheville,2018-12-29-14-north-carolina-asheville,Away,"Fayetteville State
			",NORTH-CAROLINA-ASHEVILLE
12927,134.3,0.462,0.208,88.1,0.368,32.8,0.507,20.6,0.14300000000000002,"December 31, 2018",88.1,0.615,0.833,0.775,134.3,0.263,67.2,0.672,16.5,9,"Memorial Gymnasium, Nashville, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,66.6,VANDERBILT,Vanderbilt,UNC Asheville,big-south,2018-12-31-14-vanderbilt,2018-12-31-14-vanderbilt,Home,VANDERBILT,NORTH-CAROLINA-ASHEVILLE
12929,134.3,0.462,0.208,88.1,0.368,32.8,0.507,20.6,0.14300000000000002,"December 31, 2018",88.1,0.615,0.833,0.775,134.3,0.263,67.2,0.672,16.5,9,"Memorial Gymnasium, Nashville, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,66.6,VANDERBILT,Vanderbilt,Vanderbilt,sec,2018-12-31-14-vanderbilt,2018-12-31-14-vanderbilt,Home,VANDERBILT,NORTH-CAROLINA-ASHEVILLE
12931,92.9,0.524,0.349,114.3,0.368,64.0,0.545,17.1,0.643,"January 5, 2019",114.3,0.404,0.368,0.905,92.9,0.4,36.0,0.485,14.2,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,70.2,WINTHROP,Winthrop,UNC Asheville,big-south,2019-01-05-14-north-carolina-asheville,2019-01-05-14-north-carolina-asheville,Away,WINTHROP,NORTH-CAROLINA-ASHEVILLE
12933,92.9,0.524,0.349,114.3,0.368,64.0,0.545,17.1,0.643,"January 5, 2019",114.3,0.404,0.368,0.905,92.9,0.4,36.0,0.485,14.2,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,70.2,WINTHROP,Winthrop,Winthrop,big-south,2019-01-05-14-north-carolina-asheville,2019-01-05-14-north-carolina-asheville,Away,WINTHROP,NORTH-CAROLINA-ASHEVILLE
12935,88.3,0.469,0.185,116.7,0.44,50.0,0.495,9.1,0.529,"January 16, 2019",116.7,0.522,0.222,0.6,88.3,0.333,50.0,0.5329999999999999,26.7,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,60.2,CAMPBELL,Campbell,UNC Asheville,big-south,2019-01-16-19-north-carolina-asheville,2019-01-16-19-north-carolina-asheville,Away,CAMPBELL,NORTH-CAROLINA-ASHEVILLE
12937,88.3,0.469,0.185,116.7,0.44,50.0,0.495,9.1,0.529,"January 16, 2019",116.7,0.522,0.222,0.6,88.3,0.333,50.0,0.5329999999999999,26.7,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,60.2,CAMPBELL,Campbell,Campbell,big-south,2019-01-16-19-north-carolina-asheville,2019-01-16-19-north-carolina-asheville,Away,CAMPBELL,NORTH-CAROLINA-ASHEVILLE
12939,101.6,0.602,0.429,114.5,0.391,61.4,0.602,20.5,0.684,"January 19, 2019",114.5,0.481,0.226,1.0,101.6,0.269,38.6,0.537,14.6,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,61.8,RADFORD,Radford,UNC Asheville,big-south,2019-01-19-16-north-carolina-asheville,2019-01-19-16-north-carolina-asheville,Away,RADFORD,NORTH-CAROLINA-ASHEVILLE
12941,101.6,0.602,0.429,114.5,0.391,61.4,0.602,20.5,0.684,"January 19, 2019",114.5,0.481,0.226,1.0,101.6,0.269,38.6,0.537,14.6,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,61.8,RADFORD,Radford,Radford,big-south,2019-01-19-16-north-carolina-asheville,2019-01-19-16-north-carolina-asheville,Away,RADFORD,NORTH-CAROLINA-ASHEVILLE
12943,113.8,0.35200000000000004,0.204,77.6,0.16699999999999998,42.4,0.38,12.0,0.1,"January 21, 2019",77.6,0.5379999999999999,0.28300000000000003,0.6,113.8,0.325,57.6,0.5489999999999999,13.1,13,"Winthrop Coliseum, Rock Hill, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,57.7,WINTHROP,Winthrop,UNC Asheville,big-south,2019-01-21-14-winthrop,2019-01-21-14-winthrop,Home,WINTHROP,NORTH-CAROLINA-ASHEVILLE
12945,113.8,0.35200000000000004,0.204,77.6,0.16699999999999998,42.4,0.38,12.0,0.1,"January 21, 2019",77.6,0.5379999999999999,0.28300000000000003,0.6,113.8,0.325,57.6,0.5489999999999999,13.1,13,"Winthrop Coliseum, Rock Hill, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,57.7,WINTHROP,Winthrop,Winthrop,big-south,2019-01-21-14-winthrop,2019-01-21-14-winthrop,Home,WINTHROP,NORTH-CAROLINA-ASHEVILLE
12947,116.4,0.452,0.442,101.6,0.208,35.6,0.493,11.4,0.25,"January 30, 2019",101.6,0.5429999999999999,0.63,0.7240000000000001,116.4,0.267,64.4,0.594,18.1,3,"Kimmel Arena, Asheville, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,61.4,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south,2019-01-30-19-north-carolina-asheville,2019-01-30-19-north-carolina-asheville,Home,NORTH-CAROLINA-ASHEVILLE,SOUTH-CAROLINA-UPSTATE
12949,116.4,0.452,0.442,101.6,0.208,35.6,0.493,11.4,0.25,"January 30, 2019",101.6,0.5429999999999999,0.63,0.7240000000000001,116.4,0.267,64.4,0.594,18.1,3,"Kimmel Arena, Asheville, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,61.4,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,South Carolina Upstate,big-south,2019-01-30-19-north-carolina-asheville,2019-01-30-19-north-carolina-asheville,Home,NORTH-CAROLINA-ASHEVILLE,SOUTH-CAROLINA-UPSTATE
12951,109.8,0.413,0.45,72.1,0.294,52.0,0.453,30.5,0.125,"February 7, 2019",72.1,0.585,0.113,0.833,109.8,0.32299999999999995,48.0,0.6,15.2,14,"Ross E.Templeton Center, Clinton, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,60.7,PRESBYTERIAN,Presbyterian,UNC Asheville,big-south,2019-02-07-19-presbyterian,2019-02-07-19-presbyterian,Home,PRESBYTERIAN,NORTH-CAROLINA-ASHEVILLE
12953,109.8,0.413,0.45,72.1,0.294,52.0,0.453,30.5,0.125,"February 7, 2019",72.1,0.585,0.113,0.833,109.8,0.32299999999999995,48.0,0.6,15.2,14,"Ross E.Templeton Center, Clinton, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,60.7,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,2019-02-07-19-presbyterian,2019-02-07-19-presbyterian,Home,PRESBYTERIAN,NORTH-CAROLINA-ASHEVILLE
12955,110.3,0.635,0.442,125.0,0.435,55.4,0.675,17.3,0.478,"February 9, 2019",125.0,0.532,0.21,0.6920000000000001,110.3,0.308,44.6,0.55,12.9,3,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,68.1,CHARLESTON-SOUTHERN,Charleston Southern,UNC Asheville,big-south,2019-02-09-14-north-carolina-asheville,2019-02-09-14-north-carolina-asheville,Away,CHARLESTON-SOUTHERN,NORTH-CAROLINA-ASHEVILLE
12957,110.3,0.635,0.442,125.0,0.435,55.4,0.675,17.3,0.478,"February 9, 2019",125.0,0.532,0.21,0.6920000000000001,110.3,0.308,44.6,0.55,12.9,3,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,68.1,CHARLESTON-SOUTHERN,Charleston Southern,Charleston Southern,big-south,2019-02-09-14-north-carolina-asheville,2019-02-09-14-north-carolina-asheville,Away,CHARLESTON-SOUTHERN,NORTH-CAROLINA-ASHEVILLE
12959,98.1,0.447,0.123,105.6,0.292,47.6,0.472,9.1,0.154,"February 13, 2019",105.6,0.408,0.306,0.867,98.1,0.24,52.4,0.472,16.5,6,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,53.7,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south,2019-02-13-19-south-carolina-upstate,2019-02-13-19-south-carolina-upstate,Away,NORTH-CAROLINA-ASHEVILLE,SOUTH-CAROLINA-UPSTATE
12961,98.1,0.447,0.123,105.6,0.292,47.6,0.472,9.1,0.154,"February 13, 2019",105.6,0.408,0.306,0.867,98.1,0.24,52.4,0.472,16.5,6,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,53.7,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,South Carolina Upstate,big-south,2019-02-13-19-south-carolina-upstate,2019-02-13-19-south-carolina-upstate,Away,NORTH-CAROLINA-ASHEVILLE,SOUTH-CAROLINA-UPSTATE
12963,87.3,0.491,0.37,112.7,0.333,56.5,0.5589999999999999,12.5,0.586,"February 23, 2019",112.7,0.48,0.24,0.583,87.3,0.375,43.5,0.494,20.2,4,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,62.6,PRESBYTERIAN,Presbyterian,UNC Asheville,big-south,2019-02-23-16-north-carolina-asheville,2019-02-23-16-north-carolina-asheville,Away,PRESBYTERIAN,NORTH-CAROLINA-ASHEVILLE
12965,87.3,0.491,0.37,112.7,0.333,56.5,0.5589999999999999,12.5,0.586,"February 23, 2019",112.7,0.48,0.24,0.583,87.3,0.375,43.5,0.494,20.2,4,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,62.6,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,2019-02-23-16-north-carolina-asheville,2019-02-23-16-north-carolina-asheville,Away,PRESBYTERIAN,NORTH-CAROLINA-ASHEVILLE
12967,124.2,0.398,0.28600000000000003,77.4,0.294,52.6,0.431,23.6,0.138,"February 27, 2019",77.4,0.58,0.28600000000000003,0.75,124.2,0.321,47.4,0.605,10.0,14,"CSU Fieldhouse, Charleston, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,62.1,CHARLESTON-SOUTHERN,Charleston Southern,UNC Asheville,big-south,2019-02-27-19-charleston-southern,2019-02-27-19-charleston-southern,Home,CHARLESTON-SOUTHERN,NORTH-CAROLINA-ASHEVILLE
12969,124.2,0.398,0.28600000000000003,77.4,0.294,52.6,0.431,23.6,0.138,"February 27, 2019",77.4,0.58,0.28600000000000003,0.75,124.2,0.321,47.4,0.605,10.0,14,"CSU Fieldhouse, Charleston, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,62.1,CHARLESTON-SOUTHERN,Charleston Southern,Charleston Southern,big-south,2019-02-27-19-charleston-southern,2019-02-27-19-charleston-southern,Home,CHARLESTON-SOUTHERN,NORTH-CAROLINA-ASHEVILLE
12971,153.6,0.409,0.345,85.5,0.238,37.1,0.461,13.6,0.129,"March 5, 2019",85.5,0.72,0.197,0.846,153.6,0.5379999999999999,62.9,0.7340000000000001,10.0,18,"Ross E.Templeton Center, Clinton, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,68.6,PRESBYTERIAN,Presbyterian,UNC Asheville,big-south,2019-03-05-19-presbyterian,2019-03-05-19-presbyterian,Home,PRESBYTERIAN,NORTH-CAROLINA-ASHEVILLE
12973,153.6,0.409,0.345,85.5,0.238,37.1,0.461,13.6,0.129,"March 5, 2019",85.5,0.72,0.197,0.846,153.6,0.5379999999999999,62.9,0.7340000000000001,10.0,18,"Ross E.Templeton Center, Clinton, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,68.6,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,2019-03-05-19-presbyterian,2019-03-05-19-presbyterian,Home,PRESBYTERIAN,NORTH-CAROLINA-ASHEVILLE
12975,101.5,0.523,0.156,113.8,0.17600000000000002,58.5,0.5379999999999999,17.0,1.0,"November 6, 2018",113.8,0.509,0.375,0.429,101.5,0.5,41.5,0.5,14.4,0,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,65.4,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,North Carolina A&T,meac,2018-11-06-19-north-carolina-at,2018-11-06-19-north-carolina-at,Away,NORTH-CAROLINA-GREENSBORO,NORTH-CAROLINA-AT
12977,101.5,0.523,0.156,113.8,0.17600000000000002,58.5,0.5379999999999999,17.0,1.0,"November 6, 2018",113.8,0.509,0.375,0.429,101.5,0.5,41.5,0.5,14.4,0,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,65.4,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,2018-11-06-19-north-carolina-at,2018-11-06-19-north-carolina-at,Away,NORTH-CAROLINA-GREENSBORO,NORTH-CAROLINA-AT
12979,128.6,0.551,0.322,111.4,0.423,28.3,0.573,11.8,0.0,"November 10, 2018",111.4,0.5710000000000001,0.589,0.7879999999999999,128.6,0.471,71.7,0.628,16.6,1,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,70.7,WAKE-FOREST,Wake Forest,North Carolina A&T,meac,2018-11-10-14-wake-forest,2018-11-10-14-wake-forest,Home,WAKE-FOREST,NORTH-CAROLINA-AT
12981,128.6,0.551,0.322,111.4,0.423,28.3,0.573,11.8,0.0,"November 10, 2018",111.4,0.5710000000000001,0.589,0.7879999999999999,128.6,0.471,71.7,0.628,16.6,1,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,70.7,WAKE-FOREST,Wake Forest,Wake Forest,acc,2018-11-10-14-wake-forest,2018-11-10-14-wake-forest,Home,WAKE-FOREST,NORTH-CAROLINA-AT
12983,100.0,0.345,0.431,83.3,0.174,55.4,0.429,18.8,0.5,"November 29, 2018",83.3,0.529,0.5,0.654,100.0,0.292,44.6,0.5589999999999999,18.1,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",CENTRAL-CONNECTICUT-STATE,Central Connecticut,72.1,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,2018-11-29-19-north-carolina-at,2018-11-29-19-north-carolina-at,Home,NORTH-CAROLINA-AT,CENTRAL-CONNECTICUT-STATE
12985,100.0,0.345,0.431,83.3,0.174,55.4,0.429,18.8,0.5,"November 29, 2018",83.3,0.529,0.5,0.654,100.0,0.292,44.6,0.5589999999999999,18.1,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",CENTRAL-CONNECTICUT-STATE,Central Connecticut,72.1,NORTH-CAROLINA-AT,North Carolina A&T,Central Connecticut State,northeast,2018-11-29-19-north-carolina-at,2018-11-29-19-north-carolina-at,Home,NORTH-CAROLINA-AT,CENTRAL-CONNECTICUT-STATE
12987,109.4,0.5579999999999999,0.385,117.2,0.48,54.4,0.61,14.1,0.5,"December 1, 2018",117.2,0.598,0.314,0.563,109.4,0.469,45.6,0.597,13.4,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,64.1,PRESBYTERIAN,Presbyterian,North Carolina A&T,meac,2018-12-01-16-north-carolina-at,2018-12-01-16-north-carolina-at,Away,PRESBYTERIAN,NORTH-CAROLINA-AT
12989,109.4,0.5579999999999999,0.385,117.2,0.48,54.4,0.61,14.1,0.5,"December 1, 2018",117.2,0.598,0.314,0.563,109.4,0.469,45.6,0.597,13.4,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,64.1,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,2018-12-01-16-north-carolina-at,2018-12-01-16-north-carolina-at,Away,PRESBYTERIAN,NORTH-CAROLINA-AT
12991,127.8,0.525,0.153,93.1,0.429,43.6,0.529,20.3,0.0,"December 8, 2018",93.1,0.723,0.35700000000000004,0.55,127.8,0.474,56.4,0.7020000000000001,14.5,3,"Ellis Corbett Sports Center, Greensboro, North Carolina","Greensboro
			","Greensboro
			",72.4,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,2018-12-08-16-north-carolina-at,2018-12-08-16-north-carolina-at,Home,NORTH-CAROLINA-AT,"Greensboro
			"
12992,108.6,0.563,0.175,111.4,0.412,49.1,0.5720000000000001,12.8,0.4,"December 15, 2018",111.4,0.604,0.438,0.857,108.6,0.4,50.9,0.655,23.9,3,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,70.1,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,2018-12-15-17-tennessee-state,2018-12-15-17-tennessee-state,Away,NORTH-CAROLINA-AT,TENNESSEE-STATE
12994,108.6,0.563,0.175,111.4,0.412,49.1,0.5720000000000001,12.8,0.4,"December 15, 2018",111.4,0.604,0.438,0.857,108.6,0.4,50.9,0.655,23.9,3,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,70.1,NORTH-CAROLINA-AT,North Carolina A&T,Tennessee State,ovc,2018-12-15-17-tennessee-state,2018-12-15-17-tennessee-state,Away,NORTH-CAROLINA-AT,TENNESSEE-STATE
12996,120.6,0.547,0.075,88.2,0.417,33.9,0.546,20.4,0.364,"December 19, 2018",88.2,0.5489999999999999,0.279,0.882,120.6,0.35,66.1,0.594,14.9,10,"Cassell Coliseum, Blacksburg, Virginia",NORTH-CAROLINA-AT,North Carolina A&T,68.0,VIRGINIA-TECH,Virginia Tech,North Carolina A&T,meac,2018-12-19-19-virginia-tech,2018-12-19-19-virginia-tech,Home,VIRGINIA-TECH,NORTH-CAROLINA-AT
12998,120.6,0.547,0.075,88.2,0.417,33.9,0.546,20.4,0.364,"December 19, 2018",88.2,0.5489999999999999,0.279,0.882,120.6,0.35,66.1,0.594,14.9,10,"Cassell Coliseum, Blacksburg, Virginia",NORTH-CAROLINA-AT,North Carolina A&T,68.0,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,2018-12-19-19-virginia-tech,2018-12-19-19-virginia-tech,Home,VIRGINIA-TECH,NORTH-CAROLINA-AT
13000,113.2,0.4270000000000001,0.218,83.8,0.227,39.1,0.47,18.8,0.308,"December 28, 2018",83.8,0.545,0.411,0.696,113.2,0.412,60.9,0.575,20.5,7,"Williams Arena at Minges Coliseum, Greenville, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,68.3,EAST-CAROLINA,East Carolina,North Carolina A&T,meac,2018-12-28-19-east-carolina,2018-12-28-19-east-carolina,Home,EAST-CAROLINA,NORTH-CAROLINA-AT
13002,113.2,0.4270000000000001,0.218,83.8,0.227,39.1,0.47,18.8,0.308,"December 28, 2018",83.8,0.545,0.411,0.696,113.2,0.412,60.9,0.575,20.5,7,"Williams Arena at Minges Coliseum, Greenville, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,68.3,EAST-CAROLINA,East Carolina,East Carolina,aac,2018-12-28-19-east-carolina,2018-12-28-19-east-carolina,Home,EAST-CAROLINA,NORTH-CAROLINA-AT
13004,97.5,0.5579999999999999,0.596,101.3,0.364,55.4,0.599,25.9,0.35700000000000004,"January 5, 2019",101.3,0.509,0.482,0.741,97.5,0.391,44.6,0.5589999999999999,19.1,2,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,70.0,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,2019-01-05-16-south-carolina-state,2019-01-05-16-south-carolina-state,Away,NORTH-CAROLINA-AT,SOUTH-CAROLINA-STATE
13006,97.5,0.5579999999999999,0.596,101.3,0.364,55.4,0.599,25.9,0.35700000000000004,"January 5, 2019",101.3,0.509,0.482,0.741,97.5,0.391,44.6,0.5589999999999999,19.1,2,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,70.0,NORTH-CAROLINA-AT,North Carolina A&T,South Carolina State,meac,2019-01-05-16-south-carolina-state,2019-01-05-16-south-carolina-state,Away,NORTH-CAROLINA-AT,SOUTH-CAROLINA-STATE
13008,135.1,0.375,0.25,72.7,0.263,38.0,0.417,21.3,0.0,"January 8, 2019",72.7,0.632,0.145,0.727,135.1,0.438,62.0,0.64,10.0,6,"Ellis Corbett Sports Center, Greensboro, North Carolina","Mid-Atlantic Christian
			","Mid-Atlantic Christian
			",77.2,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,2019-01-08-19-north-carolina-at,2019-01-08-19-north-carolina-at,Home,NORTH-CAROLINA-AT,"Mid-Atlantic Christian
			"
13009,98.6,0.754,0.175,131.0,0.609,47.3,0.753,15.2,0.438,"January 12, 2019",131.0,0.491,0.509,0.5710000000000001,98.6,0.348,52.7,0.512,17.2,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,71.0,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,2019-01-12-16-delaware-state,2019-01-12-16-delaware-state,Away,NORTH-CAROLINA-AT,DELAWARE-STATE
13011,98.6,0.754,0.175,131.0,0.609,47.3,0.753,15.2,0.438,"January 12, 2019",131.0,0.491,0.509,0.5710000000000001,98.6,0.348,52.7,0.512,17.2,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,71.0,NORTH-CAROLINA-AT,North Carolina A&T,Delaware State,meac,2019-01-12-16-delaware-state,2019-01-12-16-delaware-state,Away,NORTH-CAROLINA-AT,DELAWARE-STATE
