,arena,boxscore_index,date,datetime,game,location,opponent_abbr,opponent_conference,opponent_name,opponent_rank,overtimes,points_against,points_for,result,season_losses,season_wins,streak,time,type
2009-11-16-alabama-am,Elmore Health Science Building,2009-11-16-alabama-am,"Mon, Nov 16, 2009",2009-11-16,2,Home,Oakwood,Non-DI School,Oakwood,,0,81,86,Win,1,1,W 1,,Reg
2009-11-21-alabama-am,Elmore Health Science Building,2009-11-21-alabama-am,"Sat, Nov 21, 2009",2009-11-21,3,Home,Martin Methodist,Non-DI School,Martin Methodist,,0,55,76,Win,1,2,W 2,,Reg
2009-11-23-alabama-am,Elmore Health Science Building,2009-11-23-alabama-am,"Mon, Nov 23, 2009",2009-11-23,4,Home,Stillman,Non-DI School,Stillman,,0,77,75,Loss,2,2,L 1,,Reg
2009-12-01-alabama-am,Von Braun Center,2009-12-01-alabama-am,"Tue, Dec 1, 2009",2009-12-01,5,Neutral,auburn,SEC,Auburn,,0,87,52,Loss,3,2,L 2,,Reg
2009-12-05-alabama-am,Elmore Health Science Building,2009-12-05-alabama-am,"Sat, Dec 5, 2009",2009-12-05,6,Home,Tuskegee,Non-DI School,Tuskegee,,0,51,73,Win,3,3,W 1,,Reg
2009-12-15-tennessee-state,Gentry Center Complex,2009-12-15-tennessee-state,"Tue, Dec 15, 2009",2009-12-15,7,Away,tennessee-state,OVC,Tennessee State,,0,80,77,Loss,4,3,L 1,,Reg
2009-12-31-florida-state,Donald L. Tucker Center,2009-12-31-florida-state,"Thu, Dec 31, 2009",2009-12-31,8,Away,florida-state,ACC,Florida State,22,0,81,34,Loss,5,3,L 2,,Reg
2010-01-04-jackson-state,Lee E. Williams Athletics and Assembly Center,2010-01-04-jackson-state,"Mon, Jan 4, 2010",2010-01-04,9,Away,jackson-state,SWAC,Jackson State,,0,71,60,Loss,6,3,L 3,,Reg
2010-01-06-grambling,HPER Complex,2010-01-06-grambling,"Wed, Jan 6, 2010",2010-01-06,10,Away,grambling,SWAC,Grambling,,1,64,62,Loss,7,3,L 4,,Reg
2010-01-09-alabama-am,Elmore Health Science Building,2010-01-09-alabama-am,"Sat, Jan 9, 2010",2010-01-09,11,Home,arkansas-pine-bluff,SWAC,Arkansas-Pine Bluff,,0,82,72,Loss,8,3,L 5,,Reg
2010-01-11-alabama-am,Elmore Health Science Building,2010-01-11-alabama-am,"Mon, Jan 11, 2010",2010-01-11,12,Home,mississippi-valley-state,SWAC,Mississippi Valley State,,0,56,72,Win,8,4,W 1,,Reg
2010-01-16-alabama-state,ASU Acadome,2010-01-16-alabama-state,"Sat, Jan 16, 2010",2010-01-16,13,Away,alabama-state,SWAC,Alabama State,,0,83,69,Loss,9,4,L 1,,Reg
2010-01-23-southern,F. G. Clark Activity Center,2010-01-23-southern,"Sat, Jan 23, 2010",2010-01-23,14,Away,southern,SWAC,Southern,,0,63,70,Win,9,5,W 1,,Reg
2010-01-25-alcorn-state,Davey L. Whitney Complex,2010-01-25-alcorn-state,"Mon, Jan 25, 2010",2010-01-25,15,Away,alcorn-state,SWAC,Alcorn State,,0,70,84,Win,9,6,W 2,,Reg
2010-01-30-alabama-am,Elmore Health Science Building,2010-01-30-alabama-am,"Sat, Jan 30, 2010",2010-01-30,16,Home,prairie-view,SWAC,Prairie View,,0,54,59,Win,9,7,W 3,,Reg
2010-02-01-alabama-am,Elmore Health Science Building,2010-02-01-alabama-am,"Mon, Feb 1, 2010",2010-02-01,17,Home,texas-southern,SWAC,Texas Southern,,0,67,62,Loss,10,7,L 1,,Reg
,K.L. Johnson HPER Complex,,"Sat, Feb 6, 2010",2010-02-06,18,Away,arkansas-pine-bluff,SWAC,Arkansas-Pine Bluff,,0,62,55,Loss,11,7,L 2,,Reg
2010-02-08-mississippi-valley-state,Harrison HPER Complex,2010-02-08-mississippi-valley-state,"Mon, Feb 8, 2010",2010-02-08,19,Away,mississippi-valley-state,SWAC,Mississippi Valley State,,0,69,77,Win,11,8,W 1,,Reg
2010-02-13-alabama-am,Elmore Health Science Building,2010-02-13-alabama-am,"Sat, Feb 13, 2010",2010-02-13,20,Home,alabama-state,SWAC,Alabama State,,0,80,76,Loss,12,8,L 1,,Reg
2010-02-20-alabama-am,Elmore Health Science Building,2010-02-20-alabama-am,"Sat, Feb 20, 2010",2010-02-20,21,Home,southern,SWAC,Southern,,0,54,65,Win,12,9,W 1,,Reg
2010-02-22-alabama-am,Elmore Health Science Building,2010-02-22-alabama-am,"Mon, Feb 22, 2010",2010-02-22,22,Home,alcorn-state,SWAC,Alcorn State,,0,60,72,Win,12,10,W 2,,Reg
2010-02-27-prairie-view,William J. Nicks Building,2010-02-27-prairie-view,"Sat, Feb 27, 2010",2010-02-27,23,Away,prairie-view,SWAC,Prairie View,,0,62,53,Loss,13,10,L 1,,Reg
2010-03-01-texas-southern,Health & Physical Education Arena,2010-03-01-texas-southern,"Mon, Mar 1, 2010",2010-03-01,24,Away,texas-southern,SWAC,Texas Southern,,0,98,57,Loss,14,10,L 2,,Reg
2010-03-04-alabama-am,Elmore Health Science Building,2010-03-04-alabama-am,"Thu, Mar 4, 2010",2010-03-04,25,Home,jackson-state,SWAC,Jackson State,,0,70,64,Loss,15,10,L 3,,Reg
2010-03-06-alabama-am,Elmore Health Science Building,2010-03-06-alabama-am,"Sat, Mar 6, 2010",2010-03-06,26,Home,grambling,SWAC,Grambling,,0,60,81,Win,15,11,W 1,,Reg
2010-03-11-alabama-am,CenturyTel Center,2010-03-11-alabama-am,"Thu, Mar 11, 2010",2010-03-11,27,Neutral,alabama-state,SWAC,Alabama State,,0,56,45,Loss,16,11,L 1,,Conf-Tourney
